,Date,Temperature,Precipitation,WindSpeed,WindDirection,Humidity,VaporPressure,DewPoint,LocalPressure,SeaLevelPressure,Sunshine,Radiation,Snow,3hourSnow,AmountofCloud,LowMiddleLevelClouds,CloudsShape,MinimumCloudHeight,Visibility,GroundCondition,GroundTemperature,Soil5cm,Soil10cm,Soil20cm,Soil30cm
68,1907-12-24 11:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
69,1907-12-24 12:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
70,1907-12-24 13:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
71,1907-12-24 14:00,-2.0,,4.7,70.0,82.0,4.3,,1016.3,,0.0,,,,10.0,,,,,,,,,,
72,1907-12-24 15:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
73,1907-12-24 16:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
74,1907-12-24 17:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
75,1907-12-24 22:00,0.5,,1.9,90.0,82.0,5.1,,1014.7,,,,,,10.0,,,,,,,,,,
76,1907-12-25 00:00,,,,,,,,,,,,,,,,,,,,,,,,
77,1907-12-25 03:00,,,,,,,,,,,,,,,,,,,,,,,,
78,1907-12-25 06:00,1.2,,0.7,50.0,94.0,6.3,,1015.0,,,,,,10.0,,,,,,,,,,
79,1907-12-25 09:00,,,,,,,,,,,,,,,,,,,,,,,,
80,1907-12-25 12:00,,,,,,,,,,0.4,,,,,,,,,,,,,,
81,1907-12-25 13:00,,,,,,,,,,0.8,,,,,,,,,,,,,,
82,1907-12-25 14:00,6.3,,3.3,70.0,87.0,8.3,,1013.3,,0.1,,,,10.0,,,,,,,,,,
83,1907-12-25 15:00,,,,,,,,,,,,,,,,,,,,,,,,
84,1907-12-25 22:00,3.1,,0.7,70.0,91.0,6.9,,1012.3,,,,,,10.0,,,,,,,,,,
85,1908-12-19 00:00,,,,,,,,,,,,,,,,,,,,,,,,
86,1908-12-19 03:00,,,,,,,,,,,,,,,,,,,,,,,,
87,1908-12-19 06:00,-5.7,,4.0,20.0,68.0,2.7,,1022.0,,,,,,10.0,,,,,,,,,,
88,1908-12-19 08:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
89,1908-12-19 09:00,,,,,,,,,,0.0,,,,,,,,,,,,,,
90,1908-12-19 10:00,,,,,,,,,,0.9,,,,,,,,,,,,,,
91,1908-12-19 11:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
92,1908-12-19 12:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
93,1908-12-19 13:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
94,1908-12-19 14:00,0.7,,6.7,290.0,29.0,1.9,,1022.4,,1.0,,,,0.0,,,,,,,,,,
95,1908-12-19 15:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
96,1908-12-19 16:00,,,,,,,,,,1.0,,,,,,,,,,,,,,
97,1908-12-19 17:00,,,,,,,,,,0.2,,,,,,,,,,,,,,
98,1908-12-19 22:00,-3.4,,3.7,290.0,56.0,2.7,,1026.6,,,,,,0.0,,,,,,,,,,
99,1908-12-20 00:00,,,,,,,,,,,,,,,,,,,,,,,,
100,1908-12-20 03:00,,,,,,,,,,,,,,,,,,,,,,,,
